Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
Albury,13.4,22.9,0.6,W,44,22,1007.7,1007.1,16.9,21.8
Albury,7.4,25.1,0,WNW,44,25,1010.6,1007.8,17.2,24.3
Albury,12.9,25.7,0,WSW,46,30,1007.6,1008.7,21,23.2
Albury,9.2,28,0,NE,24,16,1017.6,1012.8,18.1,26.5
Albury,17.5,32.3,1,W,41,33,1010.8,1006,17.8,29.7
Albury,14.6,29.7,0.2,WNW,56,23,1009.2,1005.4,20.6,28.9
Albury,14.3,25,0,W,50,19,1009.6,1008.2,18.1,24.6
Albury,7.7,26.7,0,W,35,19,1013.4,1010.1,16.3,25.5
Albury,9.7,31.9,0,NNW,80,9,1008.9,1003.6,18.3,30.2
Albury,13.1,30.1,1.4,W,28,27,1007,1005.7,20.1,28.2
Albury,13.4,30.4,0,N,30,22,1011.8,1008.7,20.4,28.8
Albury,15.9,21.7,2.2,NNE,31,91,1010.5,1004.2,15.9,17
Albury,15.9,18.6,15.6,W,61,93,994.3,993,17.4,15.8
Albury,12.6,21,3.6,SW,44,43,1001.2,1001.8,15.8,19.8
Albury,9.8,27.7,NA,WNW,50,28,1013.4,1010.3,17.3,26.2
Albury,14.1,20.9,0,ENE,22,82,1012.2,1010.4,17.2,18.1
Albury,13.5,22.9,16.8,W,63,65,1005.8,1002.2,18,21.5
Albury,11.2,22.5,10.6,SSE,43,32,1009.4,1009.7,15.5,21
Albury,9.8,25.6,0,SSE,26,26,1019.2,1017.1,15.8,23.2
Albury,11.5,29.3,0,S,24,28,1019.3,1014.8,19.1,27.3
Albury,17.1,33,0,NE,43,28,1013.6,1008.1,24.5,31.6
Albury,20.5,31.8,0,WNW,41,24,1007.8,1005.7,23.8,30.8
Albury,15.3,30.9,0,N,33,23,1011,1008.2,20.9,29
Albury,12.6,32.4,0,W,43,17,1012.9,1010.1,21.5,31.2
Albury,16.2,33.9,0,WSW,35,19,1010.9,1007.6,23.2,33
Albury,16.9,33,0,WSW,57,28,1006.8,1003.6,26.6,31.2
Albury,20.1,32.7,0,WNW,48,15,1005.2,1001.7,24.6,32.1
Albury,19.7,27.2,0,WNW,46,22,1004.8,1004.2,21.6,26.1
Albury,12.5,24.2,1.2,WNW,50,70,1005.6,1003.4,12.5,18.2
Albury,12,24.4,0.8,W,39,28,1006.1,1005.1,16.9,22.7
Albury,11.3,26.5,0,WNW,56,26,1004.5,1003.2,19.7,25.7
Albury,9.6,23.9,0,W,41,22,1014.4,1013.1,14.9,22.1
Albury,10.5,28.8,0,SSE,26,22,1018.7,1014.8,17.1,26.5
Albury,12.3,34.6,0,WNW,37,12,1015.1,1010.3,20.7,33.9
Albury,12.9,35.8,0,WNW,41,9,1012.6,1009.2,22.4,34.4
Albury,13.7,37.9,0,W,52,8,1010.9,1006.7,23.1,36.8
Albury,16.1,38.9,0,W,57,12,1007,1002.7,25.2,38.4
Albury,14,28.3,0,W,48,15,1011.9,1010.9,17.9,27.6
Albury,12.5,28.4,0,NE,37,16,1017.8,1013.7,17.2,26.6
Albury,17,30.8,0,NE,37,24,1013.4,1008.1,20.2,29.3
Albury,16.9,32,0,S,31,31,1009.9,1006.8,22.8,30
Albury,17.3,34.7,0,SW,35,16,1014.1,1012.1,24.2,33.2
Albury,17.2,37.7,0,NNW,35,19,1015.7,1010.9,24.3,35.7
Albury,17.4,43,0,NW,39,8,1011.6,1006.9,25.6,41.5
Albury,19.8,32.7,0,WNW,44,28,1008.4,1009.2,27.6,27.1
Albury,14.9,26.7,0,SW,56,20,1014.1,1012.7,18,25.5
Albury,10.5,28.4,0,SE,33,16,1019.7,1017.4,16,25.8
Albury,11.3,32.2,0,WNW,28,17,1019.7,1016.2,20.9,30.5
Albury,13.9,36.6,0,WNW,39,10,1015.8,1010.6,22,34.4
